SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
2104200	592200	2.961	24094.4	4.589409523809524e+28	0.48
2106000	594000	2.97	24194.9	4.608552380952382e+28	0.482
2107800	595800	2.979	24299.1	4.6284e+28	0.484
2109600	597600	2.988	24403.1	4.648209523809523e+28	0.486
2111400	599400	2.997	24506.7	4.667942857142857e+28	0.488
2113200	601200	3.006	24608.0	4.687238095238096e+28	0.49
2115000	603000	3.015	24706.8	4.706057142857143e+28	0.492
2116800	604800	3.024	24809.5	4.725619047619048e+28	0.494
2118600	606600	3.033	24913.2	4.745371428571429e+28	0.496
2120400	608400	3.042	25013.7	4.764514285714286e+28	0.498
2122200	610200	3.051	25119.5	4.784666666666666e+28	0.5
2124000	612000	3.06	25222.5	4.804285714285715e+28	0.502
2125800	613800	3.069	25327.9	4.824361904761905e+28	0.504
2127600	615600	3.078	25430.4	4.843885714285715e+28	0.506
2129400	617400	3.087	25531.9	4.863219047619048e+28	0.508
2131200	619200	3.096	25631.5	4.882190476190477e+28	0.51
2133000	621000	3.105	25732.3	4.901390476190476e+28	0.512
2134800	622800	3.114	25830.3	4.920057142857143e+28	0.514
2136600	624600	3.123	25929.1	4.93887619047619e+28	0.516
2138400	626400	3.132	26030.6	4.958209523809524e+28	0.518
2140200	628200	3.141	26130.0	4.9771428571428575e+28	0.52
2142000	630000	3.15	26233.6	4.996876190476191e+28	0.522
2143800	631800	3.159	26333.7	5.0159428571428575e+28	0.524
2145600	633600	3.168	26434.8	5.0352e+28	0.526
2147400	635400	3.177	26537.0	5.054666666666667e+28	0.528
2149200	637200	3.186	26636.9	5.073695238095239e+28	0.53
2151000	639000	3.195	26735.8	5.092533333333333e+28	0.532
2152800	640800	3.204	26834.1	5.111257142857143e+28	0.534
2154600	642600	3.213	26931.6	5.129828571428572e+28	0.536
2156400	644400	3.222	27028.0	5.148190476190476e+28	0.538
2158200	646200	3.231	27125.1	5.166685714285714e+28	0.54
2160000	648000	3.24	27223.9	5.1855047619047625e+28	0.542
2161800	649800	3.249	27321.9	5.204171428571429e+28	0.544
2163600	651600	3.258	27420.9	5.2230285714285714e+28	0.546
2165400	653400	3.267	27520.3	5.2419619047619045e+28	0.548
2167200	655200	3.276	27620.6	5.261066666666667e+28	0.55
2169000	657000	3.285	27720.3	5.280057142857143e+28	0.552
2170800	658800	3.294	27819.5	5.298952380952381e+28	0.554
2172600	660600	3.303	27920.3	5.3181523809523806e+28	0.556
2174400	662400	3.312	28020.6	5.337257142857143e+28	0.558
2176200	664200	3.321	28119.1	5.356019047619048e+28	0.56
2178000	666000	3.33	28220.0	5.375238095238095e+28	0.562
2179800	667800	3.339	28318.2	5.393942857142858e+28	0.564
2181600	669600	3.348	28419.0	5.413142857142858e+28	0.566
2183400	671400	3.357	28521.0	5.432571428571429e+28	0.568
2185200	673200	3.366	28623.2	5.452038095238095e+28	0.57
2187000	675000	3.375	28728.5	5.472095238095238e+28	0.572
2188800	676800	3.384	28832.0	5.491809523809524e+28	0.574
2190600	678600	3.393	28938.2	5.512038095238096e+28	0.576
2192400	680400	3.402	29044.9	5.532361904761905e+28	0.578
2194200	682200	3.411	29154.0	5.553142857142857e+28	0.581
2196000	684000	3.42	29261.4	5.573600000000001e+28	0.583
2197800	685800	3.429	29374.2	5.595085714285714e+28	0.585
2199600	687600	3.438	29483.1	5.615828571428572e+28	0.587
2201400	689400	3.447	29599.0	5.637904761904762e+28	0.589
2203200	691200	3.456	29712.7	5.659561904761905e+28	0.592
2205000	693000	3.465	29827.4	5.681409523809524e+28	0.594
2206800	694800	3.474	29945.3	5.703866666666667e+28	0.596
2208600	696600	3.483	30061.7	5.726038095238095e+28	0.599
2210400	698400	3.492	30180.9	5.748742857142857e+28	0.601
2212200	700200	3.501	30300.4	5.7715047619047625e+28	0.603
2214000	702000	3.51	30421.3	5.794533333333334e+28	0.606
2215800	703800	3.519	30538.8	5.8169142857142855e+28	0.608
2217600	705600	3.528	30657.3	5.839485714285715e+28	0.61
2219400	707400	3.537	30771.3	5.8612e+28	0.613
2221200	709200	3.546	30887.9	5.883409523809524e+28	0.615
2223000	711000	3.555	31001.1	5.904971428571429e+28	0.617
2224800	712800	3.564	31112.7	5.9262285714285715e+28	0.62
2226600	714600	3.573	31225.0	5.947619047619048e+28	0.622
2228400	716400	3.582	31333.1	5.968209523809524e+28	0.624
2230200	718200	3.591	31441.2	5.9888e+28	0.626
2232000	720000	3.6	31549.7	6.009466666666667e+28	0.628
2233800	721800	3.609	31656.5	6.029809523809524e+28	0.63
